Flight	From	To
PK786	London	Islamabad
S71141	Moscow	Krasnodar
U6148	Rostov	Moscow
SU6869	St. Petersburg	Simferopol
UT729	Rostov	Yerevan
QD109	Moscow	
N41880	Antalya	
SQ25	Frankfurt	Singapore
QD106	Simferopol	Moscow
NN345	Moscow	Simferopol
5Y8252	Kuwait	
IV3325		
PS612	Yerevan	Kiev
UN9682		
R25911	Orenburg	Anapa
U6141	Moscow	Rostov
N45806	Antalya	
EL121	Thessaloniki	
YC521	Moscow	Simferopol
WZ163	Moscow	
BG502		
GH163	Moscow	Simferopol
SU1905	Simferopol	Moscow
HY231	Tashkent	Frankfurt
SU5313	St. Petersburg	Rostov
U6202	Anapa	Yekaterinburg
NN340	Simferopol	Moscow
QD105	Moscow	Simferopol
IN120		
R3727	Krasnodar	Moscow
SQ323	Amsterdam	Singapore
9W122	Delhi	London
MH17	Amsterdam	Kuala Lumpur
EL122	Rostov	Thessaloniki
U62897	Moscow	Simferopol
U6116	Gelendzik	Moscow
UT589	Moscow	Rostov
T53746	Kiev	
QD103	Moscow	Simferopol
SU1846	Moscow	Simferopol
S7163	Moscow	Simferopol
KL835	Amsterdam	Singapore
B2731	Minsk 2	Kutaisi
T5422	Birmingham	Ashkhabad
SU5326	Krasnodar	St. Petersburg
NN343	Moscow	Simferopol
NN339	Moscow	Simferopol
UN217	Moscow	Simferopol
S71045	Moscow	Sochi
IN119	Moscow	
S71126	Anapa	Moscow
LH8414	Frankfurt	Alma-ata
UT526	Anapa	Khanty-Mansiysk
N41836	Dalaman	Moscow
NN344	Simferopol	Moscow
4G9639		
PK757	Lahore	London
9W229	Brussels	Delhi
BR88	Paris	Taipei
SU5303	Rostov	Moscow
UT525	Khanty-Mansiysk	Anapa
UN218	Simferopol	Moscow
SU6602	Anapa	St. Petersburg
OS659	Vienna	Rostov
U62832	Simferopol	Moscow
YC302	Perm	Anapa
NN337	Moscow	Simferopol
S71046	Sochi	Moscow
UT398	Gelendzik	Moscow
UT5108	Antalya	Rostov
Z6703	Kharkov	Yerevan
S73321	Novosibirsk	Anapa
U6454	St. Petersburg	Rostov
NN326	Simferopol	Moscow
S71124	Anapa	Moscow
QR177	Doha	Oslo
BT733	Baku	Riga
7K9831	Moscow	Antalya
HY2257	Tashkent	
SU1633	Simferopol	Moscow
QD110	Simferopol	Moscow
UT536	Krasnodar	Moscow
SU5305	Rostov	Moscow
S71160	Rostov	Moscow
UT5087	Moscow	Antalya
R25931	Samara	Anapa
Z6511	Dnepropetrovsk	Yerevan
AI120	Frankfurt	Delhi
SU6866	Simferopol	St. Petersburg
UN8218	Simferopol	Moscow
NN336	Simferopol	Moscow
U6201	Yekaterinburg	Anapa
SU5312	Rostov	St. Petersburg
SU6722	Rostov	St. Petersburg
U62895	Moscow	Simferopol
SU1847	Simferopol	Moscow
UT459	Moscow	Anapa
UT590	Rostov	Moscow
SU1147	Anapa	Moscow
SU6651	St. Petersburg	Sochi
U6453	Rostov	St. Petersburg
S71155	Moscow	Rostov
PS515	Kiev	Tbilisi
7R926	Simferopol	Kursk
UT5411	Rostov	Dalaman
AI113	Delhi	Birmingham
