Flight	From	To
BT724	Riga	Tbilisi
UT846	Barcelona	Rostov
B2739	Minsk 2	Baku
KL835	Amsterdam	Singapore
S71159	Moscow	Rostov
A34609	Rostov	
KL809	Amsterdam	Kuala Lumpur
AI120	Frankfurt	Delhi
BT732	Riga	Baku
B2731	Minsk 2	Kutaisi
PK786	London	Islamabad
LH730	Munich	Hong Kong
LH796	Frankfurt	Hong Kong
N41880	Antalya	Nizhniy Novgorod
A34304	Rhodos	
SQ325	Frankfurt	Singapore
9W121	London	Delhi
AI142	Paris	Delhi
SU6866	Simferopol	St. Petersburg
7L973	Baku	Kiev
	Nizhniy Novgorod	Antalya
TK293	Istanbul	Rostov
	Rostov	Antalya
SU1827	Simferopol	Moscow
AI112	London	Delhi
BR68	London	Bangkok
LH797	Hong Kong	Frankfurt
LH8471	Alma-ata	Frankfurt
SU505	Tel-aviv	Moscow
MH1	London	Kuala Lumpur
LH731	Hong Kong	Munich
SQ321	London	Singapore
TG920	Bangkok	Frankfurt
	Rostov	Rhodos
MH20	Kuala Lumpur	Paris
B2736	Tbilisi	Minsk 2
MH16	Kuala Lumpur	Amsterdam
B2734	Yerevan	Minsk 2
SQ352	Singapore	Copenhagen
SU5343	Yekaterinburg	Rostov
S71160	Rostov	Moscow
T5422	Birmingham	Ashkhabad
TK294	Rostov	Istanbul
SU6624	Krasnodar	St. Petersburg
B2732	Kutaisi	Minsk 2
QR177	Doha	Oslo
S71142	Krasnodar	Moscow
SU5309	Khudzhand	Rostov
YC9371	Moscow	Antalya
UT586	Surgut	Rostov
B2740	Baku	Minsk 2
N45978		
	Cologne	Hong Kong
KL872	Delhi	Amsterdam
UT729	Rostov	Yerevan
KC903	Atyrau	Amsterdam
SU5305	Rostov	Moscow
UX922	Volgograd	
SU1275	Krasnodar	Moscow
BT733	Baku	Riga
UT498	Rostov	Moscow
BT725	Tbilisi	Riga
UT503		
N41990		
N41902		
N41951	Nizhniy Novgorod	
UN9682		
R3725	Krasnodar	Moscow
SU1904	Moscow	Simferopol
UT494	Rostov	Moscow
PS518	Tbilisi	Kiev
HY257	Tashkent	Rome
PS612	Yerevan	Kiev
HY231	Tashkent	Frankfurt
SU5326	Krasnodar	St. Petersburg
N45813	Rostov	
SU5312	Rostov	St. Petersburg
N45848	Antalya	
Y79613		
SU1146	Moscow	Anapa
SU1846	Moscow	Simferopol
NN343	Moscow	Simferopol
R25931	Samara	Anapa
Y79603		
R25911	Orenburg	Anapa
UT526	Anapa	Khanty-Mansiysk
SU1820	Moscow	Simferopol
IN119	Moscow	
J2683	Baku	Kiev
SU1138	Moscow	Sochi
UN9681	Rostov	
S71153	Moscow	Rostov
